"","category","bottom","top","number_children","average","number_below","percent_below","number_meeting_exceeding","percent_meeting_exceeding","season","year","age_group"
"1","Social-Emotional",300,396,1,254,1,100,0,0,"Fall","18-19","3-4"
"2","Social-Emotional",300,396,7,302,4,57.1,3,42.9,"Fall","18-19","3-4"
"3","Social-Emotional",300,396,3,268,3,100,0,0,"Fall","18-19","3-4"
"4","Social-Emotional",300,396,11,347,2,18.2,9,81.8,"Fall","18-19","3-4"
"5","Social-Emotional",300,396,11,280,8,72.7,3,27.3,"Fall","18-19","3-4"
"6","Social-Emotional",300,396,8,299,3,37.5,5,62.5,"Fall","18-19","3-4"
"7","Social-Emotional",300,396,9,317,1,11.1,8,88.9,"Fall","18-19","3-4"
"8","Social-Emotional",300,396,9,373,1,11.1,8,88.9,"Fall","18-19","3-4"
"9","Social-Emotional",300,396,1,341,0,0,1,100,"Fall","18-19","3-4"
"10","Social-Emotional",300,396,11,275,10,90.9,1,9.1,"Fall","18-19","3-4"
"11","Physical",378,555,1,343,1,100,0,0,"Fall","18-19","3-4"
"12","Physical",378,555,7,450,1,14.3,6,85.7,"Fall","18-19","3-4"
"13","Physical",378,555,3,412,0,0,3,100,"Fall","18-19","3-4"
"14","Physical",378,555,11,481,0,0,11,100,"Fall","18-19","3-4"
"15","Physical",378,555,11,390,2,18.2,9,81.8,"Fall","18-19","3-4"
"16","Physical",378,555,8,409,1,12.5,7,87.5,"Fall","18-19","3-4"
"17","Physical",378,555,9,430,1,11.1,8,88.9,"Fall","18-19","3-4"
"18","Physical",378,555,9,563,0,0,9,100,"Fall","18-19","3-4"
"19","Physical",378,555,1,511,0,0,1,100,"Fall","18-19","3-4"
"20","Physical",378,555,11,380,4,36.4,7,63.6,"Fall","18-19","3-4"
"21","Language",295,443,1,242,1,100,0,0,"Fall","18-19","3-4"
"22","Language",295,443,7,321,3,42.9,4,57.1,"Fall","18-19","3-4"
"23","Language",295,443,3,269,2,66.7,1,33.3,"Fall","18-19","3-4"
"24","Language",295,443,11,329,2,18.2,9,81.8,"Fall","18-19","3-4"
"25","Language",295,443,11,281,3,27.3,8,72.7,"Fall","18-19","3-4"
"26","Language",295,443,8,277,6,75,2,25,"Fall","18-19","3-4"
"27","Language",295,443,9,320,4,44.4,5,55.6,"Fall","18-19","3-4"
"28","Language",295,443,9,374,1,11.1,8,88.9,"Fall","18-19","3-4"
"29","Language",295,443,1,382,0,0,1,100,"Fall","18-19","3-4"
"30","Language",295,443,11,262,10,90.9,1,9.1,"Fall","18-19","3-4"
"31","Cognitive",340,480,1,332,1,100,0,0,"Fall","18-19","3-4"
"32","Cognitive",340,480,7,390,3,42.9,4,57.1,"Fall","18-19","3-4"
"33","Cognitive",340,480,3,319,3,100,0,0,"Fall","18-19","3-4"
"34","Cognitive",340,480,11,413,1,9.1,10,90.9,"Fall","18-19","3-4"
"35","Cognitive",340,480,11,307,8,72.7,3,27.3,"Fall","18-19","3-4"
"36","Cognitive",340,480,8,317,5,62.5,3,37.5,"Fall","18-19","3-4"
"37","Cognitive",340,480,9,321,6,66.7,3,33.3,"Fall","18-19","3-4"
"38","Cognitive",340,480,9,458,0,0,9,100,"Fall","18-19","3-4"
"39","Cognitive",340,480,1,439,0,0,1,100,"Fall","18-19","3-4"
"40","Cognitive",340,480,11,299,11,100,0,0,"Fall","18-19","3-4"
"41","Literacy",438,596,1,255,1,100,0,0,"Fall","18-19","3-4"
"42","Literacy",438,596,7,399,5,71.4,2,28.6,"Fall","18-19","3-4"
"43","Literacy",438,596,3,413,2,66.7,1,33.3,"Fall","18-19","3-4"
"44","Literacy",438,596,11,475,2,18.2,9,81.8,"Fall","18-19","3-4"
"45","Literacy",438,596,11,396,8,72.7,3,27.3,"Fall","18-19","3-4"
"46","Literacy",438,596,8,393,6,75,2,25,"Fall","18-19","3-4"
"47","Literacy",438,596,9,428,6,66.7,3,33.3,"Fall","18-19","3-4"
"48","Literacy",438,596,9,518,2,22.2,7,77.8,"Fall","18-19","3-4"
"49","Literacy",438,596,1,606,0,0,1,100,"Fall","18-19","3-4"
"50","Literacy",438,596,11,361,11,100,0,0,"Fall","18-19","3-4"
"51","Mathematics",269,390,1,213,1,100,0,0,"Fall","18-19","3-4"
"52","Mathematics",269,390,7,244,4,57.1,3,42.9,"Fall","18-19","3-4"
"53","Mathematics",269,390,3,286,1,33.3,2,66.7,"Fall","18-19","3-4"
"54","Mathematics",269,390,10,289,2,20,8,80,"Fall","18-19","3-4"
"55","Mathematics",269,390,11,251,8,72.7,3,27.3,"Fall","18-19","3-4"
"56","Mathematics",269,390,8,260,4,50,4,50,"Fall","18-19","3-4"
"57","Mathematics",269,390,9,286,3,33.3,6,66.7,"Fall","18-19","3-4"
"58","Mathematics",269,390,9,339,0,0,9,100,"Fall","18-19","3-4"
"59","Mathematics",269,390,1,376,0,0,1,100,"Fall","18-19","3-4"
"60","Mathematics",269,390,11,217,11,100,0,0,"Fall","18-19","3-4"
"61","Social-Emotional",300,396,1,294,1,100,0,0,"Winter","18-19","3-4"
"62","Social-Emotional",300,396,7,341,3,42.9,4,57.1,"Winter","18-19","3-4"
"63","Social-Emotional",300,396,3,302,1,33.3,2,66.7,"Winter","18-19","3-4"
"64","Social-Emotional",300,396,11,350,0,0,11,100,"Winter","18-19","3-4"
"65","Social-Emotional",300,396,11,361,1,9.1,10,90.9,"Winter","18-19","3-4"
"66","Social-Emotional",300,396,8,387,0,0,8,100,"Winter","18-19","3-4"
"67","Social-Emotional",300,396,9,378,0,0,9,100,"Winter","18-19","3-4"
"68","Social-Emotional",300,396,9,428,0,0,9,100,"Winter","18-19","3-4"
"69","Social-Emotional",300,396,1,365,0,0,1,100,"Winter","18-19","3-4"
"70","Social-Emotional",300,396,11,297,5,45.5,6,54.5,"Winter","18-19","3-4"
"71","Physical",378,555,1,378,0,0,1,100,"Winter","18-19","3-4"
